,url,link_text,tokens,token_values
94910799,data.stadt-zuerich.ch/dataset?q=miv&tags=echtzeit,echtzeit (2),fahrzeugtypen__verkehrszähldat__jsoncsv__verkehrszahle__dataset__kategorie__echtzeit__rosengartenstras__stampfenbachstrasse__aufteilen,0.11448323273985705__0.11226640347992917__0.11226640347992917__0.11124437820668828__0.10934585362778193__0.1056452659101569__0.10252147774316532__0.10010958333893771__0.09954999465000315__0.09602315255354096
94910800,data.stadt-zuerich.ch/dataset?q=miv&tags=fahrzeugtypen,fahrzeugtypen (2),fahrzeugtyp__fahrzeugtypen__jsoncsv__verkehrszähldat__verkehrszahle__dataset__kategorie__rosengartenstras__stampfenbachstrasse__aufteilen,0.12316652611170689__0.11448323273985705__0.11226640347992917__0.11226640347992917__0.11124437820668828__0.10934585362778193__0.1056452659101569__0.10010958333893771__0.09954999465000315__0.09602315255354096
94910792,data.stadt-zuerich.ch/dataset?q=miv&tags=geodaten,geodaten (3),emissionsabschnitte__lärmgutachten__kategorie__csvdxfgpkgjsonshpwfswmswmt__signalisiert__kommunaler__miv__richtplan__tag__lizenz,0.08676852542368105__0.08544055935839848__0.08451621272812551__0.0815122684492313__0.08102298675110516__0.07474694073870176__0.0741129645869423__0.06497011933290826__0.06446024496939318__0.06348840312869489
94910793,data.stadt-zuerich.ch/dataset?q=miv&tags=geoportal,geoportal (3),emissionsabschnitte__lärmgutachten__kategorie__csvdxfgpkgjsonshpwfswmswmt__signalisiert__kommunaler__miv__richtplan__tag__lizenz,0.08676852542368105__0.08544055935839848__0.08451621272812551__0.0815122684492313__0.08102298675110516__0.07474694073870176__0.0741129645869423__0.06497011933290826__0.06446024496939318__0.06348840312869489
94910794,data.stadt-zuerich.ch/dataset?q=miv&tags=liniendaten,liniendaten (3),emissionsabschnitte__lärmgutachten__kategorie__liniendaten__csvdxfgpkgjsonshpwfswmswmt__signalisiert__kommunaler__miv__richtplan__tag,0.08676852542368105__0.08544055935839848__0.08451621272812551__0.08363650549490055__0.0815122684492313__0.08102298675110516__0.07474694073870176__0.0741129645869423__0.06497011933290826__0.06446024496939318
94910795,data.stadt-zuerich.ch/dataset?q=miv&tags=sachdaten,sachdaten (3),miv__fahrzeugtypen__verkehrszähldat__jsoncsv__verkehrszahle__datensätz__dataset__kategorie__rosengartenstras__stampfenbachstrasse,0.1129770801630218__0.09307579897549355__0.09127349876417006__0.09127349876417006__0.09044258390787666__0.09015674779876388__0.08889906799006662__0.08589046008955846__0.0813899051536079__0.08093495500000257
94910796,data.stadt-zuerich.ch/dataset?q=miv&tags=stzh,stzh (3),emissionsabschnitte__lärmgutachten__kategorie__csvdxfgpkgjsonshpwfswmswmt__signalisiert__kommunaler__miv__stzh__richtplan__tag,0.08676852542368105__0.08544055935839848__0.08451621272812551__0.0815122684492313__0.08102298675110516__0.07474694073870176__0.0741129645869423__0.06801549394907949__0.06497011933290826__0.06446024496939318
94910797,data.stadt-zuerich.ch/dataset?q=miv&tags=tabelle,tabelle (3),miv__fahrzeugtypen__jsoncsv__verkehrszähldat__verkehrszahle__datensätz__dataset__kategorie__rosengartenstras__stampfenbachstrasse,0.1129770801630218__0.09307579897549355__0.09127349876417006__0.09127349876417006__0.09044258390787666__0.09015674779876388__0.08889906799006662__0.08589046008955846__0.0813899051536079__0.08093495500000257
94910791,data.stadt-zuerich.ch/dataset?q=miv&tags=verkehr,verkehr (4),miv__fahrzeugtypen__jsoncsv__verkehrszähldat__verkehrszahle__datensätz__dataset__kategorie__rosengartenstras__stampfenbachstrasse,0.12690576127901076__0.07841317310949113__0.07689479690406106__0.07689479690406106__0.0761947795936221__0.07595397246060244__0.07489442029300132__0.07235977117134033__0.06856820776639569__0.06818492784246791
94910798,data.stadt-zuerich.ch/dataset?q=miv&tags=zeitreihe,zeitreihe (3),miv__fahrzeugtypen__verkehrszähldat__jsoncsv__verkehrszahle__datensätz__dataset__kategorie__zeitreihe__rosengartenstras,0.1129770801630218__0.09307579897549355__0.09127349876417006__0.09127349876417006__0.09044258390787666__0.09015674779876388__0.08889906799006662__0.08589046008955846__0.0828376711882432__0.0813899051536079
94910421,data.stadt-zuerich.ch/dataset?res_format=dxf&tags=3d-stadtmodell,dxf (10),dachstruktur__3d__dxfgdbgpkgwfswmswmts__3d-stadtmodell__lod2__aussenhüll__gebäudegrundrissen__3d-modell__3d-dachmodell__basieren,0.17094674192511972__0.16703384059329252__0.12710232538338875__0.10136740598541025__0.09853305446745839__0.08022861067837726__0.08022861067837726__0.07927992479752619__0.07597632974449765__0.07247568211784887
94910426,data.stadt-zuerich.ch/dataset?res_format=gdb&tags=3d-stadtmodell,gdb (8),8)__dachstruktur__3d__dxfgdbgpkgwfswmswmts__lod2__aussenhüll__gebäudegrundrissen__3d-modell__3d-dachmodell__basieren,0.348750398452103__0.190440668635879__0.15224854848335992__0.11799704183984189__0.10976927997690539__0.08937748733468344__0.08937748733468344__0.08832061797619145__0.08464029717150177__0.08074045288567373
